case_group,case_id,schema,name1,name2,is_match,quality,category,notes,score,predicted_match,outcome
nk_checks,648f7137,Person,Olaf Scholze,Olaf Scholz,true,STRONG,,,0.9286,true,TP
nk_checks,3e74a18c,Person,Olaf Schulze,Olaf Scholz,true,MEDIUM,,,0.8344,true,TP
nk_checks,b652a1f2,Person,Octavian Scholz,Olaf Scholz,false,MEDIUM,,,0.5000,false,TN
nk_checks,02eec3f2,Person,Angelo Cruz,Angela Merkel,false,MEDIUM,,,0.3673,false,TN
nk_checks,088717cf,Person,Angelo Mercaz,Angela Merkel,false,MEDIUM,,,0.3673,false,TN
nk_checks,3cc55a11,Person,Angela Merkur,Angela Merkel,true,MEDIUM,,,0.5000,false,FN
nk_checks,fa5fc942,Company,Siemens Aktiengesellschaft,Siemens AG,true,STRONG,,,1.0000,true,TP
nk_checks,8ad8a306,Company,SiemensAG,Siemens AG,true,MEDIUM,,,0.9800,true,TP
nk_checks,cd40611d,Company,Siemens Aktiengeselschaft,Siemens AG,true,MEDIUM,,,1.0000,true,TP
nk_checks,ea8bf6f0,Company,Volkswagen Aktiengesellschaft,Siemens Aktiengesellschaft,false,MEDIUM,,,0.4118,false,TN
nk_checks,57f6b397,Person,Shaikh Isa Bin Tarif Al Bin Ali,Shaikh Isa Bin Tarif Al Bin Ali,true,MEDIUM,,,1.0000,true,TP
nk_checks,97b4ed6e,Person,Isa Bin Tarif Al Bin Ali,Shaikh Isa Bin Tarif Al Bin Ali,true,MEDIUM,,,0.9772,true,TP
nk_checks,4796f2a8,Person,"AL BEN ALI, Isa Ben Tarif",Shaikh Isa Bin Tarif Al Bin Ali,true,MEDIUM,,,0.9578,true,TP
nk_checks,ecda9a1b,Person,Usama bin Laden,Shaikh Isa Bin Tarif Al Bin Ali,false,STRONG,,,0.2793,false,TN
nk_checks,5292ed89,Person,"AL BEN MAHMOUD, Isa Ben Tarif",Shaikh Isa Bin Tarif Al Bin Ali,false,MEDIUM,,,0.7468,true,FP
nk_checks,88aa5c0c,Person,MOHAMMADHASNI HAJI SSAD KHAN ZARKARI,HAJI ASAD KHAN ZARKARI MOHAMMADHASNI,true,MEDIUM,,,0.8000,true,TP
nk_checks,3b99af10,Person,MOHAMMAD HASNI HAJI SSAD KHAN ZARKARI,HAJI ASAD KHAN ZARKARI MOHAMMADHASNI,true,MEDIUM,,,0.7973,true,TP
nk_checks,b3420203,Person,Hans Friedrich,Hans Friedrich,true,MEDIUM,,,1.0000,true,TP
nk_checks,2581ab19,Person,Friedrich Hans,Hans Friedrich,false,MEDIUM,,,1.0000,true,FP
nk_checks,37b435ab,Person,Hans O Friedrich,Hans Joachim Friedrich,false,MEDIUM,,,0.6667,false,TN
nk_checks,2315b667,Person,Hans J Friedrich,Hans Joachim Friedrich,true,MEDIUM,,,0.6667,false,FN
nk_checks,0ee6fd81,Person,REINALDO GREGORIO LENIN CERNA JUARE,Reinaldo Lenin Gregorio Cerna Juarez,true,MEDIUM,,,0.9667,true,TP
nk_checks,3c89b399,Person,Vita Klave,Фуад Гулієв,false,MEDIUM,,,0.0000,false,TN
nk_checks,e96c69ca,Person,Olga Barynova,Oleg BARANOV,false,MEDIUM,,,0.3403,false,TN
nk_checks,9dd007bf,Person,Ginta Boreza,Janett Borez,false,MEDIUM,,,0.4286,false,TN
nk_checks,f64ef7d2,Company,Deutsche Bank AG,Deutsche Bank,true,MEDIUM,,,0.7522,true,TP
nk_checks,9f80f859,Company,Deutsche Bank's AG,Deutsche Bank AG,true,MEDIUM,,,0.9259,true,TP
nk_checks,9c948b41,Company,Deutsche Bank AG,Deutsche Bank Aktiengesellschaft,true,STRONG,,,1.0000,true,TP
nk_checks,380313eb,Company,Deutsche Bank (Schweiz) AG,Deutsche Bank AG,true,WEAK,,,0.7895,true,TP
nk_checks,f84ca4ef,Company,Deutsche Bank AG,Deutsche Bank (Schweiz) AG,true,WEAK,,,0.9375,true,TP
nk_checks,2e1ed587,Company,Deutsche Bank AG,Deutsche Bank GmbH,false,WEAK,,,0.7083,true,FP
nk_checks,9c19e2b3,Company,Deutsche Bank Trust Company,Deutsche Bank,false,WEAK,,,0.6028,false,TN
nk_checks,8505a508,Company,OAO Gazprom,Open Joint Stock Company Gazprom,true,MEDIUM,,,0.9176,true,TP
nk_checks,1801829b,Company,HOMS REFINERY CORPORATION,The Homs Refinery Company,true,MEDIUM,,,0.9870,true,TP
nk_checks,696fd577,Person,Friedrych Buchenberg,Friedrich Buchenberg,true,MEDIUM,,,0.9252,true,TP
nk_checks,64ab04f9,Person,Fridrich Buchenberg,Friedrich Buchenberg,true,MEDIUM,,,0.9444,true,TP
nk_checks,bcf9926b,Person,FridrichBuchenberg,Friedrich Buchenberg,true,MEDIUM,,,0.9400,true,TP
nk_checks,aaf49f7a,Person,Friedrich Buchenbergo,Friedrich Buchenberg,true,MEDIUM,,,0.9545,true,TP
nk_checks,dde86bdd,Person,Frederick Buchenberg,Friedrich Buchenberg,false,WEAK,,,0.8025,true,FP
nk_checks,8db0860a,Person,Lars Friedrich Lindemann,Friedrich Buchenberg,false,MEDIUM,,,0.3571,false,TN
nk_checks,f78f990e,Person,Wolfgang Friedrich Ischinger,Friedrich Buchenberg,false,MEDIUM,,,0.3571,false,TN
nk_checks,92c9a52d,Person,Gerhard Friedrich Karl Westdickenberg,Friedrich Buchenberg,false,MEDIUM,,,0.2778,false,TN
nk_checks,ebb282f6,Person,Klaus-Peter Friedrich Walter Schulze,Friedrich Buchenberg,false,MEDIUM,,,0.2273,false,TN
nk_checks,bc8c4485,Person,Frank Richter,Frederik Richter,false,MEDIUM,,,0.5000,false,TN
nk_checks,c7235023,Person,Фрэнк Рихтер,Frederik Richter,false,MEDIUM,,,0.4500,false,TN
nk_checks,16e5538d,Person,Ig0r Sech1n,Igor Sechin,true,MEDIUM,Alphanumeric Swap,,0.8401,true,TP
nk_checks,00b855b2,Person,I9or Sech1n,Igor Sechin,true,MEDIUM,Alphanumeric Swap,,0.7453,true,TP
nk_checks,0681aedb,Person,Sergi Lavrov,Sergei Lavrov,true,STRONG,Character Deletion,,0.9167,true,TP
nk_checks,0731bce8,Person,SergeiLavrov,Sergei Lavrov,true,STRONG,,,0.9846,true,TP
nk_checks,16f24eb2,Person,Serei Lavrov,Sergei Lavrov,true,MEDIUM,Character Deletion,,0.9167,true,TP
nk_checks,2aade929,Person,Alexandr Lukashnko,Alexander Lukashenko,true,MEDIUM,Character Addition/Deletion,,0.9000,true,TP
nk_checks,113bf091,Person,Alexander Luakshenko,Alexander Lukashenko,true,MEDIUM,Character Addition/Deletion,,0.9050,true,TP
nk_checks,2c23e05a,Person,Kim Jong-uun,Kim Jong-un,true,MEDIUM,Character Repetition,,0.6667,false,FN
nk_checks,f7e7c301,Person,Kim Joonng-un,Kim Jong-un,true,MEDIUM,Character Repetition,,0.6667,false,FN
nk_checks,b4b09197,Person,rimaldiV nituP,Vladimir Putin,true,WEAK,Character Reversal,,0.0000,false,FN
nk_checks,a57107d5,Person,Vladimir nitPu,Vladimir Putin,true,WEAK,Character Reversal,,0.5000,false,FN
nk_checks,fb7343cd,Person,Nicolás Maduro SA,Nicolás Maduro,true,MEDIUM,Contextual Ending,,0.7143,true,TP
nk_checks,68ac99f9,Person,Nicolás Maduro LLC,Nicolás Maduro,true,MEDIUM,Contextual Ending,,0.7143,true,TP
nk_checks,9da3f8e6,Person,Mr. Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,true,STRONG,Contextual Beginning,,1.0000,true,TP
nk_checks,68f66b8b,Person,President Erdoğan,Recep Tayyip Erdoğan,true,MEDIUM,Contextual Beginning,,0.7143,true,TP
nk_checks,86370207,Person,Basharr al-Assad,Bashar al-Assad,true,MEDIUM,Fat Finger Typo,,0.9524,true,TP
nk_checks,72c45f00,Person,Bashar al-Asasd,Bashar al-Assad,true,MEDIUM,Fat Finger Typo,,0.8800,true,TP
nk_checks,cf960508,Person,Shi Jinping,Xi Jinping,true,MEDIUM,Phonetic Replacement,,0.9500,true,TP
nk_checks,928eb9e4,Person,Si Jinpin,Xi Jinping,true,MEDIUM,Phonetic Replacement,,0.8786,true,TP
nk_checks,ef75463e,Person,Margarita-Simonyan,Margarita Simonyan,true,MEDIUM,Special Characters Addition,,1.0000,true,TP
nk_checks,10f1a279,Person,Margarita Simonyán,Margarita Simonyan,true,MEDIUM,Special Characters Addition,,1.0000,true,TP
nk_checks,568f972d,Person,A. Khamenei,Ali Khamenei,true,WEAK,Initials Usage,,0.5882,false,FN
nk_checks,e3a8b81f,Person,J.-C. Juncker,Jean-Claude Juncker,true,WEAK,Initials Usage,,0.9500,true,TP
nk_checks,c22a1079,Person,JC Juncker,Jean-Claude Juncker,true,WEAK,Initials Usage,,0.9500,true,TP
nk_checks,afb7912c,Organization,PLA,People’s Liberation Army,true,MEDIUM,Abbreviation,,0.9000,true,TP
nk_checks,64f611b0,Organization,PLA China,People’s Liberation Army,true,MEDIUM,Abbreviation,,0.9000,true,TP
nk_checks,3510efaf,Person,AlisherUsmanov,Alisher Usmanov,true,MEDIUM,Word Joining,,0.9867,true,TP
nk_checks,21312e24,Person,Alisher-Usmanov,Alisher Usmanov,true,MEDIUM,Word Joining,,1.0000,true,TP
nk_checks,e22b9d7e,Person,Nikolai Patr ushev,Nikolai Platonovich Patrushev,true,MEDIUM,Word Splitting,,0.8911,true,TP
nk_checks,a88239d5,Person,Nikolai Plat Ono Vich Patrushev,Nikolai Platonovich Patrushev,true,MEDIUM,Word Splitting,,0.9897,true,TP
nk_checks,d0436f53,Person,bin Salman Mohammed,Mohammed bin Salman,true,MEDIUM,Word Reordering,,1.0000,true,TP
nk_checks,a4ff9a57,Person,Salman Mohammed bin,Mohammed bin Salman,true,MEDIUM,Word Reordering,,1.0000,true,TP
nk_checks,6bbea6ea,Company,1st International Bank,First International Bank,true,MEDIUM,Ordinal Number Variation,,0.9435,true,TP
nk_checks,bc6ccb9a,Company,First Bank Int’l,First International Bank,true,MEDIUM,Ordinal Number Variation,,0.9870,true,TP
nk_checks,08558993,Organization,Brigade Forty-Four,Brigade 44,true,MEDIUM,Digit to Text Conversion,,0.9350,true,TP
nk_checks,87a6de34,Organization,Brigade Forty 4,Brigade 44,true,WEAK,Digit to Text Conversion,,0.2555,false,FN
nk_checks,4a4b65af,Organization,3 Percenters,Three Percenters,true,MEDIUM,Text to Digit Conversion,,0.9435,true,TP
nk_checks,b64a0f9a,Organization,3%ers,Three Percenters,true,WEAK,Text to Digit Conversion,,0.5087,false,FN
nk_checks,364a234b,Person,Sergey Sergey Shoigu,Sergey Shoigu,true,MEDIUM,Name Duplication Removal,,0.7143,true,TP
nk_checks,2802571b,Person,Shoigu Shoigu Sergey,Sergey Shoigu,true,MEDIUM,Name Duplication Removal,,0.7143,true,TP
nk_checks,b4409354,Person,N. Nazarbayev,Nursultan Nazarbayev,true,WEAK,Initials Addition,,0.5000,false,FN
nk_checks,4e50656e,Person,A. Nazarbayev,Nursultan Nazarbayev,false,WEAK,,,0.5882,false,TN
nk_checks,a8c5f5d3,Person,Nar Nazarbayev,Nursultan Nazarbayev,false,MEDIUM,,,0.5000,false,TN
nk_checks,0e0c831d,Person,N.N.,Nursultan Nazarbayev,false,WEAK,Initials Addition,,0.0000,false,TN
nk_checks,4f7a1618,Person,Dr. Rami Makhlouf,Rami Makhlouf,true,MEDIUM,Title Addition,,1.0000,true,TP
nk_checks,bd12a48c,Person,Mr. Rami Makhlouf,Rami Makhlouf,true,MEDIUM,Title Addition,,1.0000,true,TP
nk_checks,cc12d760,Person,RamiMakhlouf,Rami Makhlouf,true,MEDIUM,,,0.9846,true,TP
nk_checks,8069c1c3,Person,Ihab Makhlouf,Rami Makhlouf,false,MEDIUM,,,0.5000,false,TN
nk_checks,c1a1edbf,Person,Hafez Makhlouf,Rami Makhlouf,false,MEDIUM,,,0.5000,false,TN
nk_checks,fd580ad8,Person,Bibi Netanyahu,Benjamin Netanyahu,true,WEAK,Nickname Usage,,0.5000,false,FN
nk_checks,f8fc314f,Person,Ben Netanyahu,Benjamin Netanyahu,true,WEAK,Nickname Usage,,0.8222,true,TP
nk_checks,f023048c,Person,Boris Netanyahu,Benjamin Netanyahu,false,MEDIUM,,,0.5000,false,TN
nk_checks,bcb43666,Person,Emanuel Macron,Emmanuel Macron,true,MEDIUM,Common Misspelling,,0.9500,true,TP
nk_checks,f94ee9ed,Person,Emmanuel Macrone,Emmanuel Macron,true,MEDIUM,Common Misspelling,,0.9286,true,TP
nk_checks,e63fb282,Person,Pot Pouv,Pol Pot,false,MEDIUM,,,0.5000,false,TN
nk_checks,884163e1,Person,PolPot,Pol Pot,true,MEDIUM,,,0.9714,true,TP
nk_checks,dd748c80,Person,ប៉ុល ពត,Pol Pot,true,MEDIUM,,,0.9000,true,TP
nk_checks,7c84e1ff,Person,Paul Murphy,Pol Pot,false,MEDIUM,,,0.4500,false,TN
nk_checks,209d8b9d,Person,Pol Pot,Paul Murphy,false,STRONG,,,0.4500,false,TN
nk_checks,9f62ec7e,Person,ماري تيريز أدينا أوندوا,Marie-Therese Abena Ondoa,true,MEDIUM,,,0.4500,false,FN
nk_checks,0c3159f3,Person,Barack Obama,George Hussein Onyango Obama,false,MEDIUM,,,0.4167,false,TN
nk_checks,6d12065e,Person,Barack Obama,Բարակ Օբամա,true,MEDIUM,,,0.9167,true,TP
nk_checks,b4fd57c7,Person,Barack Obama,バラク・オバマ,true,MEDIUM,,,0.9000,true,TP
nk_checks,0762bbea,Person,Barak Obama,Barack Obama,true,MEDIUM,,,0.9167,true,TP
nk_checks,0e0ce99d,Person,Barry Obama,Barack Obama,true,WEAK,,,0.5000,false,FN
nk_checks,cc8a721f,Person,贝拉克·奥巴马,Barack Obama,true,MEDIUM,,,0.9000,true,TP
nk_checks,3a472518,Person,Präsident Barack Obama,Barack Obama,true,MEDIUM,,,1.0000,true,TP
nk_checks,9330d6f1,Person,Barack Obama,Барак Хусеин Обама,true,MEDIUM,,,0.8636,true,TP
nk_checks,c493a181,Person,ბარაკ ობამა,Barack Obama,true,MEDIUM,,,0.9167,true,TP
nk_checks,5cb57149,Person,Michel Obama,Michelle Obama,true,WEAK,,,0.8750,true,TP
nk_checks,6bd075cb,Person,Marie-Thérèse Obama,Michelle Obama,false,MEDIUM,,,0.3571,false,TN
nk_checks,105666c4,Person,Hannibal,Hannibal,true,MEDIUM,,,1.0000,true,TP
nk_checks,14d9f5c0,Person,Hanniball,Hannibal,true,MEDIUM,,,0.8889,true,TP
nk_checks,4b4b7f86,Person,Sergejs Lavrovs,Sergey Viktorovich LAVROV,true,MEDIUM,,,0.7876,true,TP
nk_checks,7fd87d08,Person,Sergey Ivanov,Sergey Viktorovich LAVROV,false,MEDIUM,,,0.4545,false,TN
nk_checks,1f89dcc7,Person,Sergey Ivanevich Lavrov,Sergey Viktorovich LAVROV,false,MEDIUM,,,0.6667,false,TN
nk_checks,d9bd137e,Person,Sergey Viktorovich Lavrov,Sergey Viktorovich LAVROV,true,MEDIUM,,,1.0000,true,TP
nk_checks,d496e7c3,Person,Sergey Viktorovich Lavrov,Sergey Ivanevich LAVROV,false,MEDIUM,,,0.6667,false,TN
nk_checks,15ed6201,Person,Sergej Viktorovich Navros,Sergey Viktorovich LAVROV,false,MEDIUM,,,0.6333,false,TN
nk_checks,e9d1c1cc,Person,Jeremy Thomas England,Thomas Lindemann,false,MEDIUM,,,0.3571,false,TN
nk_checks,588971d9,Person,Niranjan Thomas Alva,Thomas Lindemann,false,MEDIUM,,,0.3571,false,TN
nk_checks,55e29636,Person,Thomas A. Lind,Thomas Lindemann,false,MEDIUM,,,0.5000,false,TN
nk_checks,9e17e0a0,Person,Thomas A. Lindeman,Thomas Lindemann,true,MEDIUM,,,0.7917,true,TP
nk_checks,7501a126,Person,Ротенберг Аркадий,Arkadii Romanovich Rotenberg,true,MEDIUM,,,0.8636,true,TP
nk_checks,aab171a4,Person,Osama bin Laden,Usāma bin Muhammad ibn Awad ibn Lādin,true,MEDIUM,,,0.5163,false,FN
nk_checks,7839701e,Person,Muhammad bin Salman,Usāma bin Muhammad ibn Awad ibn Lādin,false,MEDIUM,,,0.5435,false,TN
nk_checks,2c108e72,Company,Goodwill Company,Good Will Company,true,MEDIUM,,,0.9829,true,TP
nk_checks,e89e0d84,Organization,Government of Estonia,Government of Ethiopia,false,MEDIUM,,,0.2308,false,TN
nk_checks,3d3369f1,Company,CRYSTALORD LIMITED,CRYSTALORD LTD,true,MEDIUM,,,1.0000,true,TP
nk_checks,aa536cea,Company,CRISTALORD LIMITED,CRYSTALORD LTD,true,MEDIUM,,,0.9205,true,TP
nk_checks,b50ebbe3,Company,CRYSTALORD SYSTEMS LIMITED,CRYSTALORD LTD,false,WEAK,,,0.7522,true,FP
nk_checks,f36c459f,Company,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,,1.0000,true,TP
nk_checks,ded3b89b,Company,TACTICAL MISSILES CORPORATION JOINT STOCK COMPAN,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,,1.0000,true,TP
nk_checks,90ac62c2,Company,JSC TACTICAL MISSILES CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,,1.0000,true,TP
nk_checks,34864cf5,Company,OJSC TACTICAL MISSILES CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,,0.9533,true,TP
nk_checks,7e1dc456,Company,JSC TACTICAL MISSILES CORP.,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,,0.9889,true,TP
nk_checks,c1e5fa1f,Company,OJSC TACTICAL KITTENS CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,false,MEDIUM,,,0.5778,false,TN
nk_checks,6c6fd9f2,Company,OJSC TACTICAL MISSIVES CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,WEAK,,,0.8613,true,TP
nk_checks,f4045d5e,Company,Oboronnye Initsiativy OOO,OOO Oboronnye Initsiativy,true,MEDIUM,,,1.0000,true,TP
nk_checks,819ed21a,Company,Oboronnye Initsiativy o.O.O.,OOO Oboronnye Initsiativy,true,MEDIUM,,,1.0000,true,TP
nk_checks,5d62297c,Company,Iskusstvo Krasoty,LIMITED LIABILITY COMPANY ISKUSSTVO KRASOTY,true,MEDIUM,,,0.9346,true,TP
nk_checks,5a28795c,Company,ANO Iskusstvo Krasoty,LIMITED LIABILITY COMPANY ISKUSSTVO KRASOTY,false,MEDIUM,,,0.6803,false,TN
nk_checks,5f2b41d2,Company,faberlic,FABERLIC EUROPE Sp. z o.o.,true,MEDIUM,,,0.7463,true,TP
nk_checks,66674791,LegalEntity,faberlic,FABERLIC EUROPE Sp. z o.o.,true,MEDIUM,,,0.7463,true,TP
nk_checks,4cba6088,Person,Boris Johnson,Alexandre Boris de Pfeffel Johnson,true,MEDIUM,,,0.8000,true,TP
nk_checks,774c8d2d,Person,Geoffrey Boris Johnson,Alexandre Boris de Pfeffel Johnson,false,STRONG,,,0.6061,false,TN
nk_checks,99818732,Person,Boris de Pfeffel Johnson,Alexandre Boris de Pfeffel Johnson,true,MEDIUM,,,0.9524,true,TP
nk_checks,b8f02373,Person,Boris Johnson de Pfeffel,Alexandre Boris de Pfeffel Johnson,true,MEDIUM,,,0.9524,true,TP
nk_checks,e1cf3f2c,Company,A.B.C. Company,A.B.C. Company,true,STRONG,,,1.0000,true,TP
nk_checks,a133649c,Company,ABC Company,A.B.C. Company,true,STRONG,,,1.0000,true,TP
nk_checks,cd91961d,Company,ABC Co.,A.B.C. Company,true,MEDIUM,,,0.9769,true,TP
nk_checks,18371449,Company,CDE Company,A.B.C. Company,false,MEDIUM,,,0.2308,false,TN
nk_checks,1e1de812,Company,C.B.A. Company,A.B.C. Company,false,STRONG,,,0.2308,false,TN
nk_checks,7cd9604e,Company,N.A.B.C. Company,A.B.C. Company,false,MEDIUM,,,0.2308,false,TN
nk_checks,8198f145,Company,ABC International,A.B.C. Company,false,MEDIUM,,,0.5882,false,TN
nk_checks,b03d4f3e,Organization,Yamahdi (UK) Limited,YA MAHDI INDUSTRIES GROUP,false,STRONG,,,0.3943,false,TN
nk_checks,d4122590,Organization,MAHDI & YASMIN LTD,YA MAHDI INDUSTRIES GROUP,false,MEDIUM,,,0.3521,false,TN
nk_checks,bb34ccd4,Person,Niels Oscar Rost,Niels Oscar TROOST,true,MEDIUM,,,0.6667,false,FN
nk_checks,1bed6465,Person,Nils Trosterich,Niels Oscar TROOST,false,MEDIUM,,,0.3788,false,TN
nk_checks,b7d9579f,LegalEntity,Nils Trosterich,Niels Oscar TROOST,false,MEDIUM,,,0.3788,false,TN
nk_checks,9ba41b3a,Person,Ali A. Velayati,Ali Akbar Velayati,true,MEDIUM,,,0.7407,true,TP
nk_checks,54bd3e2a,Person,Ali Vellabati,Ali Akbar Velayati,false,MEDIUM,,,0.7609,true,FP
nk_checks,9a3bce65,Person,Kim Myong-sik,Kim Myong-guk,true,MEDIUM,,,0.6667,false,FN
nk_checks,5a7877bc,Person,Kim Pong-ryul,Kim Pyong-ryul,true,MEDIUM,,,0.9333,true,TP
nk_checks,6841855e,Person,Choe Ryong-hae,Choe Kyong-song,false,MEDIUM,,,0.5648,false,TN
nk_checks,31f526c5,Person,Kim Yong-chol,Kim Yong-chun,true,MEDIUM,,,0.6667,false,FN
nk_checks,bac94633,LegalEntity,Kim Yong-chol,Kim Yong-chun,true,MEDIUM,,,0.6667,false,FN
nk_checks,5653d9dc,LegalEntity,Volodymyr Groysman,Volodymyr Oleksandrovych Zelenskyy,false,MEDIUM,,,0.4545,false,TN
nk_checks,12f3fa5b,Person,Володимир Зеленський,Volodymyr Oleksandrovych Zelenskyy,true,MEDIUM,,,0.8182,true,TP
nk_checks,73bd5cc8,Person,Oleksandr Zelenskyy,Volodymyr Oleksandrovych Zelenskyy,false,MEDIUM,,,0.4545,false,TN
nk_checks,25f302fb,LegalEntity,"Nantahala Capital Offshore Fund, Ltd.","Nantahala Capital Offshore Fund I, Ltd.",true,MEDIUM,,,0.9375,true,TP
nk_checks,b6bb78d2,LegalEntity,C G Clow Will Trust,CG City Funding Limited,false,MEDIUM,,,0.2610,false,TN
nk_checks,d474ca53,LegalEntity,The Pudney Trust,The Puccini Trust,false,MEDIUM,,,0.2308,false,TN
nk_checks,3e8c9577,LegalEntity,The Puffin Trust,The Puccini Trust,false,MEDIUM,,,0.2308,false,TN
nk_checks,f54ad1f2,LegalEntity,LVMH Aviation,"THEIA AVIATION, LLC",false,MEDIUM,,,0.3804,false,TN
nk_checks,4d686dd9,Company,СБ Дако ООО,СБ Банк (ООО),false,MEDIUM,,,0.6296,false,TN
nk_checks,7a143415,Company,"ООО ""БАЙ""","ООО""БАЗО""",false,MEDIUM,,,0.4118,false,TN
nk_checks,88ff2011,Company,"ООО ""БАЙ""","ООО ""БАЙКАЛ""",false,MEDIUM,,,0.4118,false,TN
nk_checks,48185c30,Company,ООО АЯС 2000,"ООО ""АЯС 2000""",true,MEDIUM,,,1.0000,true,TP
nk_checks,95e09e00,Company,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛ""",false,MEDIUM,,,0.4118,false,TN
nk_checks,fc59418c,Company,"СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНОЙ АДАПТАЦИИ ""АЛЬЯНС""","СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ИССЛЕДОВАНИЯ БОЕВЫХ ИСКУССТВ ""УРАЛЬСКИЙ БУДОКАН""",false,MEDIUM,,,0.3876,false,TN
nk_checks,8681ad4d,LegalEntity,Nanshan Group,Nanshan Group Co Ltd,true,MEDIUM,,,0.9028,true,TP
nk_checks,30b92402,Company,Societatea cu Răspundere Limitată PRO TRAFFIC,SRL PRO TRAFFIC,true,MEDIUM,,,1.0000,true,TP
