case_group,schema,name1,name2,is_match,quality,category,notes
nk_checks,Person,Olaf Scholze,Olaf Scholz,true,STRONG,,
nk_checks,Person,Olaf Schulze,Olaf Scholz,true,MEDIUM,,
nk_checks,Person,Octavian Scholz,Olaf Scholz,false,MEDIUM,,
nk_checks,Person,Angelo Cruz,Angela Merkel,false,MEDIUM,,
nk_checks,Person,Angelo Mercaz,Angela Merkel,false,MEDIUM,,
nk_checks,Person,Angela Merkur,Angela Merkel,true,MEDIUM,,
nk_checks,Company,Siemens Aktiengesellschaft,Siemens AG,true,STRONG,,
nk_checks,Company,SiemensAG,Siemens AG,true,MEDIUM,,
nk_checks,Company,Siemens Aktiengeselschaft,Siemens AG,true,MEDIUM,,
nk_checks,Company,Volkswagen Aktiengesellschaft,Siemens Aktiengesellschaft,false,MEDIUM,,
nk_checks,Person,Shaikh Isa Bin Tarif Al Bin Ali,Shaikh Isa Bin Tarif Al Bin Ali,true,MEDIUM,,
nk_checks,Person,Isa Bin Tarif Al Bin Ali,Shaikh Isa Bin Tarif Al Bin Ali,true,MEDIUM,,
nk_checks,Person,"AL BEN ALI, Isa Ben Tarif",Shaikh Isa Bin Tarif Al Bin Ali,true,MEDIUM,,
nk_checks,Person,Usama bin Laden,Shaikh Isa Bin Tarif Al Bin Ali,false,STRONG,,
nk_checks,Person,"AL BEN MAHMOUD, Isa Ben Tarif",Shaikh Isa Bin Tarif Al Bin Ali,false,MEDIUM,,
nk_checks,Person,MOHAMMADHASNI HAJI SSAD KHAN ZARKARI,HAJI ASAD KHAN ZARKARI MOHAMMADHASNI,true,MEDIUM,,
nk_checks,Person,MOHAMMAD HASNI HAJI SSAD KHAN ZARKARI,HAJI ASAD KHAN ZARKARI MOHAMMADHASNI,true,MEDIUM,,
nk_checks,Person,Hans Friedrich,Hans Friedrich,true,STRONG,,
nk_checks,Person,Friedrich Hans,Hans Friedrich,false,MEDIUM,,
nk_checks,Person,Hans O Friedrich,Hans Joachim Friedrich,false,MEDIUM,,
nk_checks,Person,Hans J Friedrich,Hans Joachim Friedrich,true,MEDIUM,,
nk_checks,Person,REINALDO GREGORIO LENIN CERNA JUARE,Reinaldo Lenin Gregorio Cerna Juarez,true,MEDIUM,,
nk_checks,Person,Vita Klave,Фуад Гулієв,false,MEDIUM,,
nk_checks,Person,Olga Barynova,Oleg BARANOV,false,MEDIUM,,
nk_checks,Person,Ginta Boreza,Janett Borez,false,MEDIUM,,
nk_checks,Company,Deutsche Bank AG,Deutsche Bank,true,MEDIUM,,
nk_checks,Company,Deutsche Bank's AG,Deutsche Bank AG,true,MEDIUM,,
